Name,Stock Qty,Cost,Total Amount,Category,Warehouse
Oleo Butter UNSALTED ,1,65,65,BUTTER,
Bravo Buttercreme ,1,49,49,BUTTER,
Oleo Butter SALTED,1,65,65,BUTTER,
ButterBlend SALTED,1,53,53,BUTTER,
Golden Crown Butter ,38,60.76,2308.88,BUTTER,
Queensland SALTED ,18,132,2376,BUTTER,
La Crema Unsalted ,1,57,57,BUTTER,In store
Anchor Buttery ,1,71,71,BUTTER,In store
La Crema Salted ,1,0,0,BUTTER,In store
Queensland UNSALTED  ,1,125,125,BUTTER,In store
Peotraco PSugar 450g,31,63.02,1953.62,CONFECTIONERY SUGAR ,
Peotraco PSugar 1kg,35,95,3325,CONFECTIONERY SUGAR ,
Peotraco PSugar 5pounder,9,205,1845,CONFECTIONERY SUGAR ,
Dark Brown Sugar 1KG,1,87,87,CONFECTIONERY SUGAR ,
Golden Brown Sugar 1KG,1,85,85,CONFECTIONERY SUGAR ,
Peotraco Powdered Sugar 250g ,6,32,192,CONFECTIONERY SUGAR ,In store
Golden Brown Sugar 500g ,1,45,45,CONFECTIONERY SUGAR ,In store
LightBrown Sugar 500g,7,30,210,CONFECTIONERY SUGAR ,In store
LightBrown Sugar 1KG ,9,65,585,CONFECTIONERY SUGAR ,In store
Sonedco White Sugar 1kg ,24,70,1680,CONFECTIONERY SUGAR ,In store
Sonedco White Sugar 500g ,1,38,38,CONFECTIONERY SUGAR ,In store
Peotraco PSugar 2kg,1,182,182,CONFECTIONERY SUGAR ,In store
Jersey Full Cream Milk ,1,76,76,MILK/DAIRY ,
Arla Full Cream Milk ,1,87,87,MILK/DAIRY ,
Nestle APC 250ml,5,71,355,MILK/DAIRY ,
Jersey APC,18,60,1080,MILK/DAIRY ,
Jersey Condensed 1L,1,124,124,MILK/DAIRY ,
Jersey Condensed 390g,23,38.73,890.79,MILK/DAIRY ,
Everwhip 1L ,75,190,14250,MILK/DAIRY ,
Monnalisa Whipping,12,175,2100,MILK/DAIRY ,
ACC Whipping Creme 1L,12,276,3312,MILK/DAIRY ,
Whippit 1kg,1,240,240,MILK/DAIRY ,
Whippit 500g,1,130,130,MILK/DAIRY ,
Frosty Whip 1kg ,1,557,557,MILK/DAIRY ,
Frosty Whip 200g ,1,115,115,MILK/DAIRY ,
Jersey Evaporated ,46,29,1334,MILK/DAIRY ,
DLA Fondant white ,13,250,3250,MILK/DAIRY ,In store
MilkBoy Skim 500g ,1,97,97,MILK/DAIRY ,In store
Magic Whizk ,1,248,248,MILK/DAIRY ,In store
Baker's Delite ,1,237,237,MILK/DAIRY ,In store
Milkboy Skim milk 250g,2,52,104,MILK/DAIRY ,In store
Buttermlik 250g ,1,40,40,MILK/DAIRY ,In store
Buttermilk 500g ,1,0,0,MILK/DAIRY ,In store
Buttermilk 1kg ,1,0,0,MILK/DAIRY ,In store
Peotraco Fondant ,8,220,1760,MILK/DAIRY ,In store
Conaprole,24,76,1824,MILK/DAIRY ,In store
Bensdorp Cocoa 1kg,2,840,1680,COCOA,
Bensdorp Cocoa 500g,15,420,6300,COCOA,
Bensdorp Cocoa 250g,22,210,4620,COCOA,
JB15 Cocoa 500g,1,312,312,COCOA,
JB15 Cocoa 1kg,1,622,622,COCOA,
JB15 Cocoa 250g ,1,157,157,COCOA,In store
Beryl's Classic Cocoa 1kg ,1,730,730,COCOA,In store
Beryl's Classic Cocoa 500g ,1,390,390,COCOA,In store
Beryl's Classic Cocoa 250g ,1,195,195,COCOA,In store
Angel Yeast box ,1,30.34,30.34,STARCHES ,
Calumet Baking Powder 50g,1,16.41,16.41,STARCHES ,
Ferna Baking soda 250g,14,38,532,STARCHES ,
Baking Soda 100g,5,8,40,STARCHES ,
COT 50g,4,20,80,STARCHES ,
Ferna Gelatine 50g,18,58.67,1056.06,STARCHES ,
Cornstarch 1kg ,6,43,258,STARCHES ,
Cornstarch 500g,17,23,391,STARCHES ,
Tylose Powder 50g,1,27,27,STARCHES ,
Angel Yeast packet ,15,7,105,STARCHES ,
Saf Instant 125g,2,88,176,STARCHES ,In store
COT 1kg ,1,0,0,STARCHES ,In store
Bread Improver 50g,1,15,15,STARCHES ,In store
Cornstarch 250g ,16,13,208,STARCHES ,In store
Angel Yeast 500g,1,115,115,STARCHES ,In store
Calumet Baking Power 1kg,1,0,0,STARCHES ,In store
Obrim Bread Improver 50g,12,20,240,STARCHES ,In store
Saf Instant 11g,1,20,20,STARCHES ,In store
Bakersfield Ube ,4,300,1200,FLAVORINGS ,
Bakersfield Vanilla ,1,339,339,FLAVORINGS ,
LC Choco Syrup ,1,185,185,FLAVORINGS ,
LC Chocolate Fondue ,7,225,1575,FLAVORINGS ,
LC Choco Fudge ,1,245,245,FLAVORINGS ,
LC Caramel Fudge ,5,223.46,1117.3,FLAVORINGS ,
LC Caramel Syrup ,1,182.5,182.5,FLAVORINGS ,
McCormick Vanilla Flavor 475ml,1,410,410,FLAVORINGS ,
Neco Vanilla 120ml,1,30.9,30.9,FLAVORINGS ,
Neco Vanilla 60ml,1,27,27,FLAVORINGS ,
McCormick Mango 30ml,1,50,50,FLAVORINGS ,
McCormick Lemon 30ml,8,58,464,FLAVORINGS ,
McCormick Pandan 30ml,11,40,440,FLAVORINGS ,
Mccormick Vanilla 30ml,4,50,200,FLAVORINGS ,
Mccormick Strawberry 30ml,1,44,44,FLAVORINGS ,
Mccormick Ube 30ml ,2,76,152,FLAVORINGS ,
Mccormick Banana 30ml,1,51,51,FLAVORINGS ,
Primera Ube 30ml ,1,40,40,FLAVORINGS ,
Primera Mocha 30ml,1,42.94,42.94,FLAVORINGS ,
LC Yema Fudge ,3,219.62,658.86,FLAVORINGS ,
PB Strawberry Powder 50g,1,40,40,FLAVORINGS ,
Mango Powder 50g,1,38,38,FLAVORINGS ,
PB Ube Powder 50g,4,53,212,FLAVORINGS ,
CRV Ube Powder 50g,15,27,405,FLAVORINGS ,
Orion Vanilla 350ml,11,30.25,332.75,FLAVORINGS ,
Iodized Salt 250g,5,9,45,FLAVORINGS ,In store
CRV Ube 1kg ,1,465,465,FLAVORINGS ,In store
Ferna Vanilla Clear ,17,46,782,FLAVORINGS ,In store
Primera Choco 30ml ,1,45,45,FLAVORINGS ,In store
Neco Vanilla 1L ,1,85,85,FLAVORINGS ,In store
Flavorade Ube 60ml ,8,84,672,FLAVORINGS ,In store
Flavorade Choco 60ml ,1,70,70,FLAVORINGS ,In store
Achievers Matcha Powder 50g,1,65,65,FLAVORINGS ,In store
Flavorade Vanilla 60ml ,1,75,75,FLAVORINGS ,In store
Flavorade Mocha 60ml ,1,75,75,FLAVORINGS ,In store
Flavorade Strawberry 60ml ,1,75,75,FLAVORINGS ,In store
Flavorade Mango 60ml ,1,75,75,FLAVORINGS ,In store
CRV Ube 250g,1,0,0,FLAVORINGS ,In store
Cinnamon Ground 50g,27,30,810,FLAVORINGS ,In store
LC White Choco Fudge ,1,185,185,FLAVORINGS ,In store
Biscoff Smooth ,1,350,350,FLAVORINGS ,In store
PB Matcha 50g ,9,70,630,FLAVORINGS ,In store
McCormick Vanilla Clear ,1,48,48,FLAVORINGS ,In store
Cinammon Powder 1kg ,1,0,0,FLAVORINGS ,In store
Duke's Chocolate Fondue ,2,259,518,FLAVORINGS ,In store
Pureblends 50g Matcha ,17,55.06,936.02,FLAVORINGS ,In store
Pureblends Matcha 500g ,1,0,0,FLAVORINGS ,In store
Neco Banana ,2,0,0,FLAVORINGS ,In store
Vizyon Pistachio Paste ,1,1550,1550,FLAVORINGS ,In store
DLA Pistachio Sauce ,1,1750,1750,FLAVORINGS ,In store
Ferna Red Liquid 30ml ,11,40,440,FOOD COLOR ,
Ferna Blue Liquid 30ml ,11,38,418,FOOD COLOR ,
Ferna Fuschia Liquid 30ml,6,34,204,FOOD COLOR ,
Ferna Pink Liquid 30ml ,15,35,525,FOOD COLOR ,
Ferna Purple Liquid 30ml ,1,37,37,FOOD COLOR ,
Ferna Green Liquid 30ml,4,38.5,154,FOOD COLOR ,
Ferna Brown Liquid 30ml ,6,37,222,FOOD COLOR ,
Ferna Violet Liquid 30ml ,9,37,333,FOOD COLOR ,
Ferna Yellow Liquid 30ml ,7,37.86,265.02,FOOD COLOR ,
Mccormick Green liquid 30ml ,4,40,160,FOOD COLOR ,
Mccormick Yellow Liquid 30ml ,1,40,40,FOOD COLOR ,
Mccormick Blue liquid 30ml ,5,41,205,FOOD COLOR ,
Mccormick Red liquid 30ml ,1,47,47,FOOD COLOR ,
Peotraco Yellow gel 20ml ,9,74.74,672.66,FOOD COLOR ,
Peotraco Red gel 20ml ,18,77,1386,FOOD COLOR ,
Peotraco Green gel 20ml ,4,74,296,FOOD COLOR ,
Peotraco Black gel 20ml ,2,74,148,FOOD COLOR ,
Peotraco Blue gel 20ml ,5,76.4,382,FOOD COLOR ,
Peotraco White gel 20ml ,1,74,74,FOOD COLOR ,
CM Rose Pink ,1,70,70,FOOD COLOR ,
CM Georgia Peach ,1,65,65,FOOD COLOR ,
CM Deep Pink ,4,92,368,FOOD COLOR ,
CM Super Red ,1,75,75,FOOD COLOR ,
CM Purple ,1,80,80,FOOD COLOR ,
CM Xmas Red ,2,81,162,FOOD COLOR ,
CM Sunset Orange ,1,65,65,FOOD COLOR ,
CM Violet ,5,88,440,FOOD COLOR ,
CM Fuschia ,1,75,75,FOOD COLOR ,
CM Skyblue ,1,65,65,FOOD COLOR ,
CM Teal Green ,1,65,65,FOOD COLOR ,
CM Leaf Green ,7,65,455,FOOD COLOR ,
CM Forest Green ,1,65,65,FOOD COLOR ,
CM Mint Green ,1,65,65,FOOD COLOR ,
CM Buckeye Brown ,6,75,450,FOOD COLOR ,
CM Coal Black ,5,85.71,428.55,FOOD COLOR ,
CM Royal Blue ,7,92,644,FOOD COLOR ,
CM Lemon Yellow ,1,65,65,FOOD COLOR ,
CM Golden Yellow ,1,75,75,FOOD COLOR ,
CM Aqua Blue ,1,0,0,FOOD COLOR ,In store
CM Bakers Rose ,1,79.16999817,79.16999817,FOOD COLOR ,In store
CM Super Navy Blue ,1,75,75,FOOD COLOR ,In store
CM Red Red ,1,75,75,FOOD COLOR ,In store
Peotraco Brown Gel ,8,76.85,614.8,FOOD COLOR ,In store
Mccormick Violet ,1,40,40,FOOD COLOR ,In store
Ferna Black liquid 30ml,4,33,132,FOOD COLOR ,In store
VH White Chocolate 1kg ,1,260.8,260.8,CHOCOLATE BAR/CHIPS ,
FUJI Dark 1kg ,21,281,5901,CHOCOLATE BAR/CHIPS ,
BERYL'S Bittersweet Bar 1kg ,1,210,210,CHOCOLATE BAR/CHIPS ,
BERYL'S Semisweet Bar 1kg ,1,270,270,CHOCOLATE BAR/CHIPS ,
BERYL'S Dark Bar 1kg ,8,330,2640,CHOCOLATE BAR/CHIPS ,
BERYL'S White Bar 1kg ,3,322,966,CHOCOLATE BAR/CHIPS ,
SEVONA Dark 1kg ,11,300,3300,CHOCOLATE BAR/CHIPS ,
FUJI semisweet 200g,6,76,456,CHOCOLATE BAR/CHIPS ,
BERYL'S White Bar 200g,3,80,240,CHOCOLATE BAR/CHIPS ,
BERYL'S White Chips 1kg ,6,318,1908,CHOCOLATE BAR/CHIPS ,
VH Choco Chips 1kg ,1,284,284,CHOCOLATE BAR/CHIPS ,
BERYL'S Choco Chips 1kg ,6,303,1818,CHOCOLATE BAR/CHIPS ,
FUJI Semisweet 1kg,18,281,5058,CHOCOLATE BAR/CHIPS ,In store
FUJI Dark 200g,3,75.41000366,226.230011,CHOCOLATE BAR/CHIPS ,In store
VH IntenseDark Bar 1kg ,2,324,648,CHOCOLATE BAR/CHIPS ,In store
FUJI Milk Choco 1kg ,2,281,562,CHOCOLATE BAR/CHIPS ,In store
VH Milk Chocolate 1kg ,1,265,265,CHOCOLATE BAR/CHIPS ,In store
Bery's Dark Bar 200g ,24,80,1920,CHOCOLATE BAR/CHIPS ,In store
Chocolate Lentils 250g,1,77,77,CHOCOLATE BAR/CHIPS ,In store
Chocolate Stones 250g,1,74,74,CHOCOLATE BAR/CHIPS ,In store
FUJI Milk Choco 200g ,1,57,57,CHOCOLATE BAR/CHIPS ,In store
